Time;Porto_Velho;Ariquimes;Cacoal
01/01/1991 00:00;24.9803104;25.0033512;25.3677616
01/02/1991 00:00;25.2855167;25.2576237;25.5231571
01/03/1991 00:00;24.8636112;24.9371281;25.347559
01/04/1991 00:00;24.5932865;24.7358646;25.2748661
01/05/1991 00:00;24.4409733;25.0378666;25.4742374
01/06/1991 00:00;23.0938663;23.9869938;24.6361332
01/07/1991 00:00;23.0578556;23.3044071;24.2177372
01/08/1991 00:00;26.1682987;27.0424747;27.6877689
01/09/1991 00:00;28.7168217;28.1492558;28.9523869
01/10/1991 00:00;27.501215;27.3529301;28.1305485
01/11/1991 00:00;26.1350651;26.0741825;27.0912724
01/12/1991 00:00;25.9637699;25.5635014;26.2337589
01/01/1992 00:00;25.3084965;25.457056;26.0425968
01/02/1992 00:00;25.0295963;25.3214054;25.7069035
01/03/1992 00:00;25.279932;25.5632267;26.0142155
01/04/1992 00:00;25.2018375;25.5200443;25.9114933
01/05/1992 00:00;24.8126469;25.6126652;26.0812626
01/06/1992 00:00;25.0228825;24.6267033;25.399683
01/07/1992 00:00;25.014307;25.1325321;25.7870731
01/08/1992 00:00;27.3963871;27.6381168;28.0809879
01/09/1992 00:00;26.312891;27.1760807;27.624445
01/10/1992 00:00;27.3338566;27.6910648;28.7629032
01/11/1992 00:00;25.8002872;26.1440067;26.8526554
01/12/1992 00:00;25.0494328;25.3698368;25.7374516
01/01/1993 00:00;24.4654179;24.8526554;25.1395512
01/02/1993 00:00;24.8092899;24.785944;25.3079777
01/03/1993 00:00;24.8836613;24.8010807;25.2808475
01/04/1993 00:00;24.8183537;25.2024784;25.537775
01/05/1993 00:00;23.8620548;24.7068424;25.2463932
01/06/1993 00:00;23.4438725;24.1335087;24.6795597
01/07/1993 00:00;23.5987186;24.6343327;24.3330936
01/08/1993 00:00;25.8919926;26.2566471;25.5653629
01/09/1993 00:00;27.3792973;27.3540592;27.0512028
01/10/1993 00:00;27.2108402;27.1555729;26.8646793
01/11/1993 00:00;27.4593143;25.9258671;26.0577641
01/12/1993 00:00;25.8412724;25.542078;25.8506107
01/01/1994 00:00;24.9511356;24.8586063;25.2394352
01/02/1994 00:00;24.6734257;24.7621403;25.2287846
01/03/1994 00:00;24.7491703;24.997736;25.3565922
01/04/1994 00:00;24.7733402;24.8981876;25.3086796
01/05/1994 00:00;24.1650028;24.6325321;25.1414433
01/06/1994 00:00;22.7632084;23.4242802;23.955164
01/07/1994 00:00;23.0864506;23.1863956;23.8227177
01/08/1994 00:00;25.7527103;27.0244389;27.0287418
01/09/1994 00:00;28.0127506;28.4645329;28.6300602
01/10/1994 00:00;27.8527775;26.9557743;27.5560246
01/11/1994 00:00;26.5596256;25.9241581;26.7901554
01/12/1994 00:00;24.9085941;25.3097477;25.5725651
01/01/1995 00:00;24.8208866;25.017786;25.2975712
01/02/1995 00:00;24.8161564;24.8546696;25.2927189
01/03/1995 00:00;24.9697514;25.3134098;25.5348454
01/04/1995 00:00;24.1996708;24.7423344;25.1793766
01/05/1995 00:00;23.3340702;23.9765568;24.5139408
01/06/1995 00:00;23.0232487;23.7977848;24.3857059
01/07/1995 00:00;24.6430302;24.7037907;24.5512638
01/08/1995 00:00;26.6745243;27.7688847;26.7723637
01/09/1995 00:00;28.660059;29.2405033;28.437952
01/10/1995 00:00;28.0123234;28.8458195;28.2374821
01/11/1995 00:00;26.2931156;26.1339359;26.4502201
01/12/1995 00:00;25.0085697;25.2680302;25.6230717
01/01/1996 00:00;24.730402;24.892786;25.3191166
01/02/1996 00:00;24.7450809;24.9310551;25.2221622
01/03/1996 00:00;25.1423893;25.2170048;25.5632877
01/04/1996 00:00;24.4924564;24.7061405;25.1111698
01/05/1996 00:00;24.3066044;24.8014774;25.140131
01/06/1996 00:00;21.5447941;22.3645267;23.1520329
01/07/1996 00:00;23.0501347;23.8506718;23.5983524
01/08/1996 00:00;26.8306217;27.6318302;26.9712162
